Algorithm,Support,Confidence,Time_ms,Rule_Count,Avg_Lift
Apriori,0.1,0.5,534.862063,206,1.7494489928514008
Apriori,0.1,0.6,534.862063,164,1.7746520331453972
Apriori,0.1,0.7,534.862063,72,2.036381695571128
Apriori,0.5,0.5,12.603857,0,0.0
Apriori,0.5,0.6,12.603857,0,0.0
Apriori,0.5,0.7,12.603857,0,0.0
