Algorithm,Support,Confidence,Time_ms,Rule_Count,Avg_Lift
Apriori,0.05,0.6,1457.052506,1625,3.1497966882987183
Apriori,0.05,0.7,1457.052506,942,3.3819436343318823
Apriori,0.05,0.8,1457.052506,526,3.6033560673703597
Apriori,0.0375,0.6,4802.067129,4982,4.040256829009479
Apriori,0.0375,0.7,4802.067129,3041,4.14371124283685
Apriori,0.0375,0.8,4802.067129,1705,4.3368149717602025
Apriori,0.025,0.6,22267.290038,26357,5.185731937937871
Apriori,0.025,0.7,22267.290038,16540,5.090834962489542
Apriori,0.025,0.8,22267.290038,9078,5.131856818033566
